,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
987,RENAULT,Twingo,Twingo GT,HATCHBACK,,BENCIN,4,,,,1.1,https://www.bolha.com/avto-oglasi/renault-twingo-letnik-2000-144000-km-bencin-deli-delih-oglas-1579853,"Renault Twingo, letnik 2000, 144000 km, bencin deli po delih",2000.0,144000.0,,bolha,22270.0,2211.0
988,FIAT,Marea,Marea,HATCHBACK,ROČNI,BENCIN,4,,,,1.6,https://www.bolha.com/avto-oglasi/fiat-marea-letnik-1999-1-km-bencin-deli-delih-rezervni-oglas-1579662,"Fiat Marea, letnik 1999, 1 km, bencin deli po delih rezervni",1999.0,1.0,,bolha,8400.0,892.0
989,VOLKSWAGEN,Golf Variant,Golf VII Variant,KARAVAN,ROČNI,DIEZEL,4,,,110.0,2.0,https://www.bolha.com/avto-oglasi/vw-golf-vii-7-r-line-letnik-2015-138000-km-diesel-2.0-110kw-deli-oglas-1579642,"VW Golf VII 7 r line, letnik 2015, 138000 km, diesel 2.0 110kw deli",2015.0,138000.0,,bolha,26965.0,2630.0
990,Alfa Romeo,147,N/A,SPREMENLJIV,,DIEZEL,5,,,86.0,1.9,https://www.bolha.com/avto-oglasi/alfa-romeo-147-letnik-2003-200000-km-diesel-oglas-1579511,"Alfa Romeo 147, letnik 2003, 200000 km, diesel",2003.0,200000.0,,bolha,,
991,ALFA ROMEO,159 Sportwagon,159 Sportwagon,KARAVAN,ROČNI,DIEZEL,4,,,147.0,2.4,https://www.bolha.com/avto-oglasi/alfa-romeo-159-sport-wagon-letnik-2006-294000-km-diesel-deli-oglas-1582428,"Alfa Romeo 159 limuzina, letnik 2006, 294000 km, diesel deli po ...",2006.0,294000.0,,bolha,308.0,44.0
992,ALFA ROMEO,166,166,HATCHBACK,ROČNI,DIEZEL,4,,,131.0,2.4,https://www.bolha.com/avto-oglasi/alfa-romeo-166-letnik-2005-320000-km-diesel-oglas-1582296,"Alfa Romeo 166, letnik 2005, 320000 km, diesel deli po delih rezervni",2005.0,320000.0,,bolha,325.0,46.0
993,Fiat,Punto,N/A,SPREMENLJIV,ROČNI,BENCIN,4,,,,1.8,https://www.bolha.com/avto-oglasi/kupim-fiat-punto-hgt-grande-bravo-doblo-idea-croma-panda-stilo-oglas-1581941,kupim fiat punto hgt grande bravo doblo idea croma panda stilo,1994.0,1337.0,1.0,bolha,,
994,FIAT,Grande Punto / Punto Evo 3 Doors,Grande Punto 3 Doors,HATCHBACK,ROČNI,BENCIN,5,,,40.0,1.2,https://www.bolha.com/avto-oglasi/fiat-punto-grande-bravo-evo-brava-croma-idea-iveco-deli-1.2-8v-1.2-oglas-1581940,fiat punto grande bravo evo brava croma idea iveco deli 1.2 8v 1.2 ...,2000.0,120000.0,,bolha,8358.0,888.0
995,Fiat,Punto,N/A,SPREMENLJIV,,DIEZEL,4,,,,1.3,https://www.bolha.com/avto-oglasi/fiat-punto-letnik-2010-1337-km-diesel-oglas-1581905,"Fiat Punto, letnik 2010, 1337 km, diesel",2010.0,1337.0,,bolha,,
996,FIAT,Grande Punto / Punto Evo 3 Doors,Grande Punto 3 Doors,HATCHBACK,ROČNI,BENCIN,5,,,70.0,1.4,https://www.bolha.com/avto-oglasi/fiat-grande-punto-letnik-2006-170000-km-bencin-1.4-oglas-1582899,"Fiat Grande Punto, letnik 2006, 170000 km, bencin 1.4",2006.0,137000.0,,bolha,8359.0,888.0
