,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,id_razlicice,id_modela
68,Audi,A4,PO DELIH,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.DIEZEL,5,5.0,,96.0,1.896,https://www.bolha.com/avto-oglasi/audi-a4-delih-oglas-7123223,Audi A4 PO DELIH,2003.0,400000.0,,1031,145
69,VW,Passat,4motion,TipVozila.KARAVAN,Menjalnik.ROČNI,Motor.DIEZEL,5,6.0,,97.0,1.98,https://www.bolha.com/avto-oglasi/vw-passat-4motion-letnik-2002-479820-km-diesel-oglas-1579226,"VW Passat 4motion, letnik 2002, 508360 km, diesel",2002.0,508360.0,3999.0,27332,2638
70,Peugeot,3008,"1,6 HDI",TipVozila.SPREMENLJIV,,Motor.DIEZEL,5,,,84.0,1.56,https://www.bolha.com/avto-oglasi/peugeot-3008-1.6-hdi-oglas-10149648,"Peugeot 3008 1,6 HDI",2014.0,112000.0,,20251,1987
71,VW,Passat,2.0 tdi highline executive 190hp virtual DSG,TipVozila.KARAVAN,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,140.0,1.968,https://www.bolha.com/avto-oglasi/vw-passat-2.0-tdi-highline-executive-190hp-virtual-dsg-avtomatik-oglas-9944420,VW Passat 2.0 tdi highline executive 190hp virtual DSG avtomatik,2020.0,175000.0,24900.0,27283,2638
72,Renault,Espace,JK02A6.  ZA REZERVNE DELE,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,5,6.0,,96.0,1.995,https://www.bolha.com/avto-oglasi/renault-espace-jk02a6-oglas-6382147,Renault Espace JK02A6,2008.0,300000.0,3333.0,22054,2204
73,Nissan,X-Trail,SUV,TipVozila.KOMBI,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,95.0,1.6,https://www.bolha.com/avto-oglasi/nissan-x-trail-suv-avtomatik-oglas-10148518,Nissan X-Trail SUV avtomatik,2015.0,149000.0,,18193,1829
74,BMW,serija 7,745 i,TipVozila.SPREMENLJIV,Menjalnik.AVTOMATSKI,Motor.BENCIN,4,,,245.0,4.5,https://www.bolha.com/avto-oglasi/bmw-serija-7-745-letnik-2003-360000-km-bencin-oglas-1577209,"BMW serija 7 745 i, letnik 2003, 360000 km, bencin",2003.0,360000.0,3000.0,3027,248
75,Chevrolet,Captiva,LT-5-SEAT,TipVozila.SUV,Menjalnik.ROČNI,Motor.DIEZEL,5,5.0,,110.0,1.999,https://www.bolha.com/avto-oglasi/chevrolet-captiva-lt-5-seat-oglas-10148463,Chevrolet Captiva LT-5-SEAT,2007.0,272491.0,3250.0,5752,479
76,Opel,Zafira,"VAN, Enoprostorec",TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,5,,,,1.7,https://www.bolha.com/avto-oglasi/opel-zafira-van-enoprostorec-oglas-10047141,"Opel Zafira VAN, Enoprostorec",2014.0,199000.0,6200.0,19174,1912
77,Peugeot,207,BREAK KARAVAN,TipVozila.KARAVAN,,Motor.BENCIN,5,,,70.0,1.694,https://www.bolha.com/avto-oglasi/peugeot-207-break-karavan-oglas-10148255,Peugeot 207 BREAK KARAVAN,2010.0,33000.0,4800.0,20578,2014
78,Nissan,Micra,2,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,5,,,42.0,1.2,https://www.bolha.com/avto-oglasi/nissan-micra-2-oglas-10148219,Nissan Micra 2,2006.0,298900.0,,18295,1834
79,Citroën,Xsara,1.6 benzin,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,4,,,80.0,16.0,https://www.bolha.com/avto-oglasi/citro-n-xsara-1.6-benzin-2004-godina-oglas-10148080,Citroën Xsara 1.6 benzin 2004 godina,2004.0,235000.0,1000.0,6899,605
80,BMW,serija 3 Touring,Karavan,TipVozila.KARAVAN,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,105.0,1.998,https://www.bolha.com/avto-oglasi/bmw-serija-3-touring-karavan-avtomatik-oglas-10147987,BMW serija 3 Touring Karavan avtomatik,2014.0,267800.0,8400.0,2769,245
81,VW,Golf II,1.3 Yx,TipVozila.SPREMENLJIV,,Motor.BENCIN,3,,,40.0,1.3,https://www.bolha.com/avto-oglasi/vw-golf-ii-1.3-yx-oglas-10147850,VW Golf II 1.3 Yx,1987.0,84000.0,500.0,17432,1761
82,Citroën,Berlingo Furgon,1.6Hdi Klima,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,3,5.0,,66.0,1.56,https://www.bolha.com/avto-oglasi/citro-n-berlingo-furgon-1.6hdi-klima-oglas-10147798,Citroën Berlingo Furgon 1.6Hdi Klima,2008.0,189100.0,4350.0,6274,553
83,Fiat,124,Spider,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,2,,,103.0,1.368,https://www.bolha.com/avto-oglasi/fiat-124-spider-oglas-9739831,Fiat 124 Spider,2018.0,11200.0,25000.0,8024,798
84,VW,Golf IV,SGFM52KO34L41N1,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,5,5.0,,55.0,1.39,https://www.bolha.com/avto-oglasi/vw-golf-iv-sgfm52ko34l41n1-oglas-10147339,VW Golf IV SGFM52KO34L41N1,2001.0,298666.0,1450.0,28060,2683
85,Peugeot,106,osebno vozilo,TipVozila.SPREMENLJIV,,Motor.BENCIN,5,,,,10.0,https://www.bolha.com/avto-oglasi/peugeot-106-osebno-vozilo-oglas-9178951,Peugeot 106 osebno vozilo,1999.0,35000.0,450.0,20466,2003
86,Renault,Scenic,"1,5dci 63kw",TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,5,,,63.0,1.499,https://www.bolha.com/avto-oglasi/renault-scenic-1.5dci-63kw-oglas-10006014,"Renault Scenic 1,5dci 63kw",2005.0,279000.0,1390.0,22329,2213
87,Suzuki,SX4 S-Cross,1.4 BOOSTERJET HYBRID PREMIUM ALLGRIP,TipVozila.SUV,Menjalnik.ROČNI,Motor.BENCIN,5,6.0,,95.0,1.373,https://www.bolha.com/avto-oglasi/suzuki-sx4-cross-1.4-boosterjet-hybrid-premium-allgrip-oglas-10147149,Suzuki SX4 S-Cross 1.4 BOOSTERJET HYBRID PREMIUM ALLGRIP,2020.0,101000.0,18900.0,25058,2442
88,Mercedes-Benz,Drugi modeli,Kupim starodobnike,TipVozila.SPREMENLJIV,,Motor.BENCIN,4,,,,2.0,https://www.bolha.com/avto-oglasi/mercedes-razred-sl-kupim-starodobnike-letnik-1924-100000-km-bencin-oglas-1583103,"Mercedes razred SL Kupim starodobnike, letnik 1924, 100000 km, bencin",1971.0,100000.0,,5064,398
89,VW,Golf VI Variant,1.6 TDI,TipVozila.KARAVAN,Menjalnik.ROČNI,Motor.DIEZEL,5,,,77.0,1.598,https://www.bolha.com/avto-oglasi/vw-golf-vi-variant-1.6-tdi-oglas-10147053,VW Golf VI Variant 1.6 TDI,2013.0,230657.0,6800.0,26977,2630
90,VW,Golf VII,"1,6 TDI BMT comfortline",TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.DIEZEL,5,,,77.0,1.6,https://www.bolha.com/avto-oglasi/vw-golf-vii-1.6-tdi-bmt-comfortline-oglas-9679804,"VW Golf VII 1,6 TDI BMT comfortline",2014.0,197000.0,,28055,2683
91,Lincoln,Towncar,"LIMUZINA 8,6m",TipVozila.SPREMENLJIV,Menjalnik.AVTOMATSKI,Motor.BENCIN,4,,,157.0,4.6,https://www.bolha.com/avto-oglasi/lincoln-towncar-limuzina-8.6m-avtomatik-oglas-8410126,"Lincoln Towncar LIMUZINA 8,6m avtomatik",1999.0,185000.0,13000.0,12340,1265
92,Nissan,Qashqai,1.6,TipVozila.SUV,Menjalnik.ROČNI,Motor.DIEZEL,5,6.0,,,18.0,https://www.bolha.com/avto-oglasi/nissan-qashqai-1.6-oglas-10146775,Nissan Qashqai 1.6,2014.0,145000.0,13500.0,18239,1832
93,VW,Arteon, 2.0 TDI Elegance,TipVozila.SPREMENLJIV,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,110.0,2.0,https://www.bolha.com/avto-oglasi/vw-arteon-2.0-tdi-elegance-avtomatik-oglas-10146523,VW Arteon  2.0 TDI Elegance avtomatik,2019.0,107000.0,34000.0,26925,2629
94,Ford,S-Max,Enoprostorec,TipVozila.KOMBI,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,132.0,2.0,https://www.bolha.com/avto-oglasi/ford-max-enoprostorec-avtomatik-oglas-9564514,Ford S-Max Enoprostorec avtomatik,2017.0,95000.0,20900.0,9153,936
95,Ford,Tourneo,Conect,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,6,5.0,,66.0,1.8,https://www.bolha.com/avto-oglasi/ford-tourneo-conect-oglas-6443393,Ford Tourneo Conect PRODAM PO DELIH NOV IZPUH IN OSTALI DELI UGODNO.,2003.0,166500.0,,9201,938
96,BMW,serija 5,524 td,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.DIEZEL,5,,,85.0,2.5,https://www.bolha.com/avto-oglasi/bmw-serija-5-524-td-diesel-zelo-dober-motor-delih-ugodno-oglas-1582601,"BMW serija 5 524 td, diesel, zelo dober motor, PO DELIH, UGODNO.",1992.0,175000.0,30.0,2711,244
